dataset;a_iid_diff;v_iid_diff;t0_iid_diff;st0_iid_diff;a_iid_same;v_iid_same;t0_iid_same;st0_iid_same;a_rdw_diff;v_rdw_diff;t0_rdw_diff;st0_rdw_diff;a_rdw_same;v_rdw_same;t0_rdw_same;st0_rdw_same
0;0.992995;1.417702;0.369668;0.437830;0.936341;2.289786;0.333270;0.382543;1.176242;5.851757;0.346432;0.250095;1.317680;3.344396;0.250072;0.171387
1;0.905753;1.126713;0.345505;0.403725;1.012802;2.498401;0.362120;0.494987;1.139586;4.038141;0.310714;0.252798;1.530799;4.802335;0.272187;0.232526
2;0.931306;1.203846;0.266205;0.409079;1.113209;1.943540;0.281464;0.305296;1.222582;4.081528;0.266670;0.253082;1.570318;3.973383;0.237398;0.269122
3;0.874034;2.022764;0.325199;0.338884;0.891304;2.051854;0.320440;0.213229;1.342157;4.222035;0.277400;0.160975;1.647162;5.192221;0.274611;0.244907
4;0.998978;1.755093;0.368258;0.471638;1.903329;2.829717;0.175178;0.262294;1.266286;4.621857;0.337834;0.291860;0.783421;5.199807;0.364171;0.330318
5;1.174452;0.867723;0.204929;0.319715;0.908426;2.599078;0.336282;0.400572;0.991862;3.271063;0.337434;0.209094;1.549361;5.250523;0.316933;0.276530
6;0.929359;1.228469;0.316514;0.385135;1.143953;2.744992;0.301089;0.475599;1.259152;4.214706;0.352622;0.301127;1.200508;4.716681;0.311690;0.318136
7;0.978847;1.171865;0.268265;0.361689;1.176670;2.114989;0.262663;0.244220;0.765623;3.291823;0.396796;0.195325;0.907745;3.824217;0.360757;0.263817
8;1.190567;1.404153;0.314429;0.319413;1.150254;2.940405;0.286803;0.440235;0.942101;3.271870;0.304073;0.218998;1.182322;4.777204;0.315600;0.305622
9;1.001935;1.358596;0.259986;0.440553;0.982405;2.424972;0.358203;0.392209;1.264709;3.424611;0.332360;0.142518;1.283285;4.477387;0.324055;0.229377
10;1.109107;1.218365;0.305668;0.351623;0.858058;2.564420;0.338130;0.346747;0.966296;3.402937;0.367787;0.240294;1.259077;4.597965;0.294828;0.314466
11;1.022381;1.240383;0.236873;0.391169;1.024838;2.158238;0.372114;0.402951;1.518684;5.270467;0.256914;0.305246;1.570470;3.853075;0.258359;0.333833
12;0.900855;1.485867;0.302560;0.371886;0.839359;2.383235;0.347520;0.333480;1.312329;3.451439;0.308036;0.126387;1.495076;4.863647;0.295315;0.246366
13;0.920722;0.696770;0.293451;0.371051;0.855574;3.515582;0.367206;0.500525;0.893867;3.595213;0.374885;0.205281;1.151277;4.448914;0.294404;0.271100
14;0.968909;1.030043;0.327248;0.553914;0.957262;3.296589;0.400976;0.477053;1.435792;3.796062;0.287288;0.184244;2.238917;5.067359;0.229354;0.326031
15;0.941129;1.585390;0.360546;0.422194;1.114082;2.891735;0.311149;0.409182;1.493353;5.780783;0.339400;0.264974;1.385100;5.910577;0.320538;0.287851
16;0.961602;2.023971;0.346874;0.328224;0.973662;2.098572;0.348933;0.276591;1.008445;3.111260;0.351380;0.263977;1.158874;4.194647;0.319548;0.247529
17;0.971320;1.380602;0.263677;0.341528;1.308198;2.765591;0.265213;0.373107;1.421698;3.871114;0.298197;0.202518;1.172681;4.189346;0.307278;0.326216
18;0.969952;1.013172;0.286947;0.523150;0.938671;2.132289;0.354476;0.420518;1.551600;4.456087;0.312954;0.300920;0.948593;3.505721;0.327633;0.256770
19;1.257972;1.001049;0.303473;0.258039;1.272458;3.902049;0.290085;0.337539;0.809780;3.314770;0.376267;0.241872;1.423919;3.979517;0.270173;0.230158
20;1.256006;1.304946;0.235364;0.352527;1.044350;2.215405;0.311558;0.286684;0.732044;4.457466;0.400006;0.332242;1.002376;3.581541;0.290051;0.307039
21;1.226366;1.369454;0.298345;0.395648;0.877090;2.631475;0.361994;0.315343;1.102834;3.162619;0.331913;0.251906;1.795744;6.728488;0.283436;0.278285
22;0.985691;1.377839;0.316518;0.378179;1.163778;2.647586;0.254650;0.366038;1.340019;3.614069;0.323086;0.156802;1.300907;4.871414;0.301645;0.202518
23;0.914078;1.317605;0.297237;0.494111;1.514148;2.679075;0.230876;0.218501;1.030896;3.483314;0.312871;0.097510;1.317292;4.141573;0.263915;0.192601
24;0.861560;1.229744;0.324583;0.286449;0.957185;2.775107;0.342838;0.467641;0.953922;4.554525;0.352628;0.246442;1.575980;5.937488;0.287944;0.376256
25;0.804023;1.263286;0.325632;0.339214;1.127700;2.288554;0.342411;0.322542;1.172932;3.493555;0.310799;0.199646;1.401930;3.545704;0.309385;0.231870
26;0.966206;0.596828;0.262013;0.317517;0.962579;2.398553;0.358479;0.365688;1.252855;3.528250;0.316545;0.157509;1.512190;4.213469;0.289122;0.317249
27;0.936354;1.846544;0.345278;0.481376;0.996706;2.434619;0.323955;0.390749;1.051394;3.356667;0.350775;0.276167;1.070825;3.419551;0.266069;0.310044
