dataset;a_iid_diff;v_iid_diff;t0_iid_diff;st0_iid_diff;a_iid_same;v_iid_same;t0_iid_same;st0_iid_same;a_rdw_diff;v_rdw_diff;t0_rdw_diff;st0_rdw_diff;a_rdw_same;v_rdw_same;t0_rdw_same;st0_rdw_same
0;1.200120;0.902373;0.190102;0.232216;0.875531;1.543319;0.252809;0.268731;1.101669;2.377775;0.232914;0.263726;1.618169;2.920801;0.130406;0.129705
1;1.103462;0.789700;0.214107;0.112550;0.946312;1.389265;0.247263;0.234005;1.109522;2.502730;0.211273;0.164434;1.297827;3.176493;0.213467;0.352541
2;1.050125;0.332416;0.238083;0.107273;0.929858;0.925308;0.245854;0.153100;0.903499;2.231241;0.259465;0.097631;1.317635;2.351799;0.140181;0.202021
3;1.067310;0.696936;0.227902;0.174387;1.020571;1.500260;0.244106;0.297048;1.254550;3.572475;0.245891;0.290451;1.198302;2.532418;0.195023;0.158676
4;1.021993;0.697680;0.233386;0.196104;1.034225;1.184858;0.235568;0.227470;0.992112;2.090624;0.238991;0.247555;1.323659;2.899041;0.174310;0.107981
5;0.906338;0.619376;0.252027;0.164455;0.810917;1.128940;0.288107;0.266927;1.182363;2.286720;0.210683;0.190952;1.501846;3.572117;0.189321;0.185064
6;0.978769;0.874849;0.224039;0.292085;0.953269;0.905399;0.234654;0.069565;1.165723;2.382737;0.225417;0.234257;1.262495;2.844917;0.197761;0.173318
7;1.129057;0.490584;0.224809;0.112600;1.103023;0.944819;0.206060;0.237810;1.144173;2.036078;0.180135;0.167013;1.109614;2.493064;0.201106;0.260288
8;1.014252;0.185810;0.247976;0.206899;0.990776;1.149894;0.234933;0.246915;0.976750;2.393604;0.236273;0.252145;1.324023;3.359454;0.168594;0.102214
9;1.000340;0.592930;0.238033;0.284892;0.935821;1.206845;0.237551;0.235397;1.141968;2.951073;0.235982;0.230968;1.351672;3.388103;0.196020;0.281777
10;0.965251;0.847252;0.251611;0.237663;1.119336;1.371398;0.197026;0.217539;1.173445;2.367594;0.203399;0.353950;1.667413;2.758034;0.118738;0.097514
11;1.032031;0.509085;0.220129;0.179612;0.988159;1.681222;0.239697;0.319156;0.855843;2.180034;0.278648;0.161285;1.308037;3.084268;0.168559;0.178188
12;1.160003;0.658664;0.198261;0.156407;1.040576;1.312613;0.222705;0.172525;0.970809;3.441626;0.274624;0.380871;1.507391;2.946800;0.148537;0.052506
13;0.909355;0.718254;0.222314;0.131282;1.057293;1.521170;0.208633;0.082518;0.922741;2.323518;0.262147;0.181986;1.098246;3.082964;0.223128;0.232899
14;0.898493;0.788018;0.268539;0.211045;0.835176;1.193750;0.262225;0.198034;0.969318;2.227249;0.239947;0.202524;1.178252;2.090432;0.194972;0.157515
15;1.092622;0.940426;0.236506;0.254788;1.004452;1.117271;0.214127;0.094209;1.188202;2.494390;0.200234;0.260668;1.083870;2.356782;0.181686;0.241502
16;0.910921;0.848237;0.262558;0.304178;0.885947;1.372687;0.263935;0.198371;0.792656;2.499664;0.292585;0.247899;1.207859;2.339821;0.196370;0.068361
17;0.881918;0.471520;0.257436;0.246341;1.118868;0.815964;0.191070;0.069890;1.112781;2.950775;0.230310;0.236288;1.645920;2.779219;0.113803;0.207323
18;0.922915;0.758657;0.297608;0.197320;1.093408;1.066556;0.200152;0.273732;0.960262;2.251638;0.259649;0.175318;1.115932;2.749100;0.205230;0.112517
19;1.042421;0.934772;0.236055;0.303835;0.909674;1.361118;0.262693;0.217527;0.944019;2.093427;0.233176;0.230082;1.179943;2.758508;0.190377;0.153075
20;0.974379;0.492058;0.256648;0.146990;0.979855;1.422746;0.240977;0.174462;0.966313;2.391624;0.261864;0.118773;1.435346;3.213461;0.155136;0.052507
21;1.083579;0.578714;0.180941;0.158740;0.653717;1.214802;0.307050;0.263821;0.893245;2.230393;0.280264;0.187441;1.515306;2.624504;0.123540;0.239092
22;1.056425;0.543853;0.239898;0.174438;1.014257;1.826452;0.231489;0.202539;1.049369;2.217633;0.233765;0.217744;1.128952;2.415034;0.196083;0.209267
23;1.000749;0.453749;0.228175;0.219099;0.931917;1.638125;0.251510;0.144079;1.034784;2.210911;0.258832;0.311051;1.057239;2.346341;0.193000;0.228694
24;1.013230;0.290016;0.221756;0.100722;1.055656;1.179836;0.217301;0.277725;1.099121;2.650675;0.225183;0.261318;1.315575;2.818146;0.168642;0.217524
25;1.154063;0.887418;0.176295;0.051882;1.120759;1.385985;0.204349;0.185257;0.831303;2.609376;0.287069;0.206621;1.289052;2.955738;0.183160;0.183675
26;1.185483;0.673901;0.168208;0.190053;1.003428;1.405218;0.273369;0.325355;0.864177;2.094019;0.264745;0.187521;1.472862;3.347431;0.162851;0.082510
27;1.125988;0.534095;0.187948;0.052527;1.024172;1.014615;0.238945;0.131673;1.228262;2.160085;0.203645;0.150436;1.317584;3.083454;0.196657;0.158964
