dataset;a_iid_diff;v_iid_diff;t0_iid_diff;st0_iid_diff;a_iid_same;v_iid_same;t0_iid_same;st0_iid_same;a_rdw_diff;v_rdw_diff;t0_rdw_diff;st0_rdw_diff;a_rdw_same;v_rdw_same;t0_rdw_same;st0_rdw_same
0;0.983020;1.068404;0.315179;0.322568;1.005958;1.590649;0.319212;0.140517;0.727688;2.505247;0.344681;0.238067;1.434812;2.898779;0.273235;0.185996
1;0.962625;1.080102;0.328065;0.172577;0.925866;1.876936;0.348263;0.311338;1.019412;2.703751;0.299079;0.233398;1.317675;3.472358;0.296970;0.305611
2;0.949391;1.032726;0.338844;0.387280;0.915106;1.670517;0.344086;0.440407;0.738876;2.731622;0.352414;0.302808;1.259093;2.855817;0.255562;0.197559
3;0.900541;0.894556;0.340460;0.317199;0.999859;1.542230;0.306783;0.329243;0.882537;2.090511;0.324024;0.235077;1.312526;2.708549;0.229551;0.232527
4;0.931275;0.836250;0.333205;0.391495;0.943688;1.697485;0.351699;0.402851;0.813057;2.138665;0.326446;0.177443;0.969381;3.046771;0.297407;0.276884
5;0.989196;0.928023;0.309830;0.233506;0.838893;1.743019;0.349340;0.364596;0.935846;1.981233;0.275872;0.110332;1.333573;3.233354;0.241230;0.277966
6;0.912276;1.051272;0.334301;0.232459;1.062168;1.355214;0.291465;0.273197;0.790622;2.48725;0.318299;0.302806;1.285447;2.982877;0.265476;0.338671
7;0.793217;0.990386;0.365968;0.279048;0.909611;1.618942;0.370927;0.456569;0.766608;2.357656;0.349970;0.170933;1.087417;2.938029;0.280995;0.172522
8;0.857557;1.078235;0.321494;0.307306;0.940867;1.490886;0.313911;0.366819;0.869697;1.959333;0.325479;0.146759;1.019873;2.226709;0.298261;0.202537
9;0.995272;0.872558;0.310167;0.270492;0.967619;1.531540;0.322064;0.362504;0.893474;1.828976;0.311477;0.178576;1.083509;3.514742;0.288096;0.266032
10;0.846815;0.956881;0.317507;0.212334;0.920757;1.558844;0.327436;0.301808;0.720151;2.195808;0.339206;0.177117;1.196519;2.460033;0.301520;0.223655
11;0.904003;0.777456;0.311567;0.291546;0.992893;1.420019;0.290964;0.276410;0.971133;1.905027;0.275961;0.297807;0.984282;2.37211;0.318432;0.202255
12;0.930524;0.808182;0.358663;0.274585;0.859163;1.663758;0.328615;0.365586;0.912074;1.634004;0.298780;0.172534;1.138808;2.350734;0.289122;0.145962
13;1.031304;0.796054;0.277572;0.241328;0.888257;1.553048;0.323323;0.310559;0.834843;1.809359;0.291697;0.292768;0.921363;3.760701;0.369106;0.361598
14;0.921467;0.784129;0.305797;0.279187;0.922403;1.460264;0.339015;0.364974;0.756248;2.155953;0.368349;0.252715;1.105476;2.878907;0.248475;0.245575
15;0.801790;0.928867;0.349377;0.236065;0.849177;1.582962;0.375315;0.359290;0.738802;2.127459;0.363222;0.292283;1.168944;2.948006;0.247124;0.217506
16;0.836585;0.930384;0.314000;0.324749;0.983136;1.308958;0.312369;0.297880;0.913565;1.628649;0.280114;0.160416;0.991612;2.683516;0.319667;0.281338
17;0.921556;0.875734;0.320136;0.317802;0.976944;1.435459;0.304407;0.259195;0.688798;2.263535;0.334162;0.128233;1.234931;2.272628;0.255898;0.263179
18;0.859339;0.885580;0.374401;0.352541;1.021020;1.359210;0.298501;0.314275;0.901241;1.709088;0.281816;0.246602;0.755340;2.870778;0.354871;0.212624
19;0.966247;0.821203;0.322075;0.258277;0.732116;1.650142;0.371234;0.340295;0.860906;2.012319;0.295606;0.197904;1.002999;2.557328;0.316258;0.222261
20;1.048734;0.781931;0.275724;0.093752;0.895946;1.554046;0.342414;0.315067;0.811353;1.884692;0.336248;0.189302;0.895065;3.313758;0.357799;0.348708
21;1.086658;0.695377;0.318790;0.262272;1.040775;1.520090;0.306007;0.232601;0.787744;2.10787;0.326773;0.175672;1.098343;2.437117;0.306851;0.307723
22;0.701664;0.944932;0.386405;0.338797;0.994254;1.446911;0.320294;0.427552;0.821342;1.745516;0.304835;0.161275;1.078935;2.080566;0.295378;0.128252
23;0.933846;0.814022;0.321137;0.297908;0.880980;1.470661;0.343009;0.452548;0.981366;1.650308;0.242576;0.103347;1.107465;2.437936;0.283297;0.187535
24;1.045811;0.808288;0.293744;0.216148;0.931464;1.532117;0.328698;0.264505;0.753588;1.924044;0.310385;0.230482;1.083447;2.982473;0.294299;0.314657
25;1.009622;0.716220;0.299230;0.207993;0.884747;1.459561;0.348078;0.352685;0.846449;1.62128;0.313922;0.236351;0.969570;3.126524;0.311893;0.257606
26;0.713744;0.756360;0.391644;0.362753;1.007084;1.453227;0.271863;0.236974;0.933351;1.522445;0.296404;0.097523;1.049312;2.385201;0.293928;0.226854
27;0.862299;0.662321;0.339088;0.306065;1.075071;1.276041;0.322074;0.329421;0.817664;1.810863;0.306587;0.095848;1.124543;1.853678;0.275442;0.135000
