dataset;a;v;t0;st0;precision;method;penalty;fit index;time
sim_iid_opposite_0.csv;0.983020;1.068404;0.315179;0.322568;3.000000;KS;0.000000;0.953598;0.030000
sim_iid_opposite_1.csv;0.962625;1.080102;0.328065;0.172577;3.000000;KS;0.000000;0.869591;0.021000
sim_iid_opposite_2.csv;0.949391;1.032726;0.338844;0.387280;3.000000;KS;0.000000;0.876522;0.025000
sim_iid_opposite_3.csv;0.900541;0.894556;0.340460;0.317199;3.000000;KS;0.000000;0.996009;0.020000
sim_iid_opposite_4.csv;0.931275;0.836250;0.333205;0.391495;3.000000;KS;0.000000;0.996132;0.021000
sim_iid_opposite_5.csv;0.989196;0.928023;0.309830;0.233506;3.000000;KS;0.000000;0.905918;0.020000
sim_iid_opposite_6.csv;0.912276;1.051272;0.334301;0.232459;3.000000;KS;0.000000;0.811001;0.020000
sim_iid_opposite_7.csv;0.793217;0.990386;0.365968;0.279048;3.000000;KS;0.000000;0.912884;0.014000
sim_iid_opposite_8.csv;0.857557;1.078235;0.321494;0.307306;3.000000;KS;0.000000;0.904454;0.016000
sim_iid_opposite_9.csv;0.995272;0.872558;0.310167;0.270492;3.000000;KS;0.000000;0.825755;0.023000
sim_iid_opposite_10.csv;0.846815;0.956881;0.317507;0.212334;3.000000;KS;0.000000;0.942873;0.015000
sim_iid_opposite_11.csv;0.904003;0.777456;0.311567;0.291546;3.000000;KS;0.000000;0.772081;0.025000
sim_iid_opposite_12.csv;0.930524;0.808182;0.358663;0.274585;3.000000;KS;0.000000;0.923489;0.015000
sim_iid_opposite_13.csv;1.031304;0.796054;0.277572;0.241328;3.000000;KS;0.000000;0.921018;0.021000
sim_iid_opposite_14.csv;0.921467;0.784129;0.305797;0.279187;3.000000;KS;0.000000;0.764399;0.020000
sim_iid_opposite_15.csv;0.801790;0.928867;0.349377;0.236065;3.000000;KS;0.000000;0.971836;0.021000
sim_iid_opposite_16.csv;0.836585;0.930384;0.314000;0.324749;3.000000;KS;0.000000;0.853722;0.025000
sim_iid_opposite_17.csv;0.921556;0.875734;0.320136;0.317802;3.000000;KS;0.000000;0.789531;0.027000
sim_iid_opposite_18.csv;0.859339;0.885580;0.374401;0.352541;3.000000;KS;0.000000;0.817522;0.032000
sim_iid_opposite_19.csv;0.966247;0.821203;0.322075;0.258277;3.000000;KS;0.000000;0.764707;0.023000
sim_iid_opposite_20.csv;1.048734;0.781931;0.275724;0.093752;3.000000;KS;0.000000;0.589207;0.020000
sim_iid_opposite_21.csv;1.086658;0.695377;0.318790;0.262272;3.000000;KS;0.000000;0.791973;0.020000
sim_iid_opposite_22.csv;0.701664;0.944932;0.386405;0.338797;3.000000;KS;0.000000;0.917417;0.020000
sim_iid_opposite_23.csv;0.933846;0.814022;0.321137;0.297908;3.000000;KS;0.000000;0.866940;0.024000
sim_iid_opposite_24.csv;1.045811;0.808288;0.293744;0.216148;3.000000;KS;0.000000;0.498659;0.025000
sim_iid_opposite_25.csv;1.009622;0.716220;0.299230;0.207993;3.000000;KS;0.000000;0.915126;0.019000
sim_iid_opposite_26.csv;0.713744;0.756360;0.391644;0.362753;3.000000;KS;0.000000;0.997090;0.019000
sim_iid_opposite_27.csv;0.862299;0.662321;0.339088;0.306065;3.000000;KS;0.000000;0.973516;0.016000
sim_iid_same_0.csv;1.005958;1.590649;0.319212;0.140517;3.000000;KS;0.000000;0.979754;0.015000
sim_iid_same_1.csv;0.925866;1.876936;0.348263;0.311338;3.000000;KS;0.000000;0.998940;0.014000
sim_iid_same_2.csv;0.915106;1.670517;0.344086;0.440407;3.000000;KS;0.000000;0.999901;0.030000
sim_iid_same_3.csv;0.999859;1.542230;0.306783;0.329243;3.000000;KS;0.000000;0.992209;0.021000
sim_iid_same_4.csv;0.943688;1.697485;0.351699;0.402851;3.000000;KS;0.000000;0.994119;0.025000
sim_iid_same_5.csv;0.838893;1.743019;0.349340;0.364596;3.000000;KS;0.000000;0.993760;0.020000
sim_iid_same_6.csv;1.062168;1.355214;0.291465;0.273197;3.000000;KS;0.000000;0.998413;0.029000
