dataset,Dataset_Type,IID_Opposite_a,IID_Opposite_st0,IID_Opposite_ter,IID_Opposite_v,IID_Same_a,IID_Same_st0,IID_Same_ter,IID_Same_v,RDW_Opposite_a,RDW_Opposite_st0,RDW_Opposite_ter,RDW_Opposite_v,RDW_Same_a,RDW_Same_st0,RDW_Same_ter,RDW_Same_v
0,Real,0.821954,0.328817,0.383396,0.584067,0.673443,0.362003,0.429371,1.723739,1.194529,0.232502,0.349094,2.235086,0.948987,0.187695,0.38373,1.813989
0,Simulated,0.98302,0.322568,0.315179,1.068404,1.005958,0.140517,0.319212,1.590649,0.727688,0.238067,0.344681,2.405247,1.434812,0.185996,0.273235,3.098779
1,Real,0.891881,0.172396,0.279443,2.495576,0.921897,0.226277,0.301159,3.131505,0.980993,0.191559,0.327897,2.251964,1.547212,0.176465,0.212589,3.042175
1,Simulated,0.962625,0.172577,0.328065,1.080102,0.925866,0.311338,0.348263,1.876936,1.019412,0.233398,0.299079,2.603751,1.317675,0.305611,0.29697,3.672358
2,Real,1.059582,0.307508,0.346423,0.117006,1.0145,0.069035,0.272883,1.690006,1.344977,0.053337,0.221296,2.147012,1.493403,0.068021,0.180742,2.653525
2,Simulated,0.949391,0.38728,0.338844,1.032726,0.915106,0.440407,0.344086,1.670517,0.738876,0.302808,0.352414,2.631622,1.259093,0.197559,0.255562,3.055817
3,Real,1.03051,0.152291,0.214149,0.099943,0.952908,0.18753,0.210822,0.515914,0.806919,0.212418,0.218121,2.766515,2.142719,0.244359,0.129251,6.996992
3,Simulated,0.900541,0.317199,0.34046,0.894556,0.999859,0.329243,0.306783,1.54223,0.882537,0.235077,0.324024,1.990511,1.312526,0.232527,0.229551,2.908549
4,Real,1.11968,0.112537,0.308316,0.142,1.022636,0.054341,0.300235,0.743081,0.707061,0.053033,0.310398,2.235512,1.15554,0.186992,0.22025,4.63345
4,Simulated,0.931275,0.391495,0.333205,0.83625,0.943688,0.402851,0.351699,1.697485,0.813057,0.177443,0.326446,2.038665,0.969381,0.276884,0.297407,3.246771
5,Real,1.540394,0.210157,0.15129,0.174114,1.111477,0.261564,0.299714,0.497818,1.187735,0.199187,0.267055,0.681721,1.512245,0.17739,0.14853,0.793284
5,Simulated,0.989196,0.233506,0.30983,0.928023,0.838893,0.364596,0.34934,1.743019,0.935846,0.110332,0.275872,1.881233,1.333573,0.277966,0.24123,3.433354
