# rt	acc	condition
0.569	1	iid_opposite
0.756	0	iid_opposite
0.366	1	iid_opposite
1.046	1	iid_opposite
0.434	0	iid_opposite
0.39	0	iid_opposite
0.758	1	iid_opposite
0.748	1	iid_opposite
0.375	1	iid_opposite
0.754	0	iid_opposite
0.305	1	iid_opposite
0.535	1	iid_opposite
0.492	1	iid_opposite
0.4	1	iid_opposite
0.368	1	iid_opposite
0.29	0	iid_opposite
0.263	1	iid_opposite
0.408	0	iid_opposite
0.513	0	iid_opposite
0.744	1	iid_opposite
0.418	1	iid_opposite
0.752	1	iid_opposite
0.288	1	iid_opposite
0.727	0	iid_opposite
0.4	1	iid_opposite
0.442	1	iid_opposite
0.279	0	iid_opposite
0.28	1	iid_opposite
0.57	1	iid_opposite
0.347	1	iid_opposite
0.224	1	iid_opposite
0.455	1	iid_opposite
0.342	1	iid_opposite
0.265	1	iid_opposite
0.311	1	iid_opposite
0.451	0	iid_opposite
0.551	0	iid_opposite
0.465	1	iid_opposite
0.279	0	iid_opposite
0.435	1	iid_opposite
0.367	0	iid_opposite
0.182	1	iid_opposite
1.098	1	iid_opposite
0.953	1	iid_opposite
0.702	1	iid_opposite
0.412	1	iid_opposite
0.918	1	iid_opposite
0.239	0	iid_opposite
0.518	1	iid_opposite
0.32	1	iid_opposite
0.401	1	iid_opposite
0.693	1	iid_opposite
0.227	0	iid_opposite
0.32	1	iid_opposite
0.473	1	iid_opposite
0.405	1	iid_opposite
0.999	0	iid_opposite
0.283	1	iid_opposite
0.617	1	iid_opposite
0.573	1	iid_opposite
0.461	1	iid_opposite
0.651	0	iid_opposite
0.337	1	iid_opposite
0.414	0	iid_opposite
0.342	1	iid_opposite
0.369	0	iid_opposite
0.592	0	iid_opposite
0.387	0	iid_opposite
0.366	0	iid_opposite
0.424	0	iid_opposite
1.423	1	iid_opposite
0.44	1	iid_opposite
0.268	1	iid_opposite
0.426	1	iid_opposite
0.563	1	iid_opposite
0.289	1	iid_opposite
0.615	0	iid_opposite
0.509	1	iid_opposite
0.766	1	iid_opposite
0.503	1	iid_opposite
0.458	0	iid_opposite
0.389	1	iid_opposite
0.296	0	iid_opposite
0.388	0	iid_opposite
0.514	0	iid_opposite
0.465	1	iid_opposite
0.271	0	iid_opposite
0.403	1	iid_opposite
0.487	1	iid_opposite
0.249	1	iid_opposite
0.499	0	iid_opposite
0.494	1	iid_opposite
0.229	1	iid_opposite
0.413	1	iid_opposite
0.357	0	iid_opposite
0.357	0	iid_opposite
0.601	1	iid_opposite
0.696	0	iid_opposite
0.385	1	iid_opposite
0.324	1	iid_opposite
