# rt	acc	condition
0.342	1	iid_same
0.473	0	iid_same
0.327	0	iid_same
0.322	0	iid_same
0.475	1	iid_same
0.429	0	iid_same
0.515	0	iid_same
0.384	1	iid_same
0.294	1	iid_same
0.348	0	iid_same
0.612	1	iid_same
0.639	1	iid_same
0.324	1	iid_same
0.306	1	iid_same
0.362	0	iid_same
0.443	1	iid_same
0.197	1	iid_same
0.32	1	iid_same
0.435	0	iid_same
0.466	1	iid_same
0.369	1	iid_same
0.415	1	iid_same
0.59	1	iid_same
0.33	0	iid_same
0.483	1	iid_same
0.579	1	iid_same
0.434	1	iid_same
0.82	1	iid_same
0.566	1	iid_same
0.801	1	iid_same
0.4	0	iid_same
0.581	1	iid_same
0.344	0	iid_same
0.203	0	iid_same
0.281	0	iid_same
0.451	1	iid_same
0.27	1	iid_same
0.317	1	iid_same
0.167	0	iid_same
0.251	1	iid_same
0.497	1	iid_same
0.249	1	iid_same
0.361	0	iid_same
0.312	1	iid_same
0.313	1	iid_same
0.347	1	iid_same
0.442	1	iid_same
0.605	0	iid_same
0.347	1	iid_same
0.424	1	iid_same
0.374	1	iid_same
0.387	1	iid_same
0.423	1	iid_same
0.81	1	iid_same
0.495	0	iid_same
0.327	1	iid_same
0.206	1	iid_same
1.011	1	iid_same
0.376	0	iid_same
0.427	1	iid_same
0.406	1	iid_same
0.238	1	iid_same
0.421	1	iid_same
0.804	1	iid_same
0.449	1	iid_same
0.547	1	iid_same
0.382	0	iid_same
0.46	1	iid_same
0.352	1	iid_same
0.479	1	iid_same
0.52	1	iid_same
0.602	0	iid_same
0.407	1	iid_same
0.415	0	iid_same
0.689	1	iid_same
0.427	1	iid_same
0.431	0	iid_same
0.3	1	iid_same
0.269	1	iid_same
0.379	1	iid_same
0.339	1	iid_same
0.477	1	iid_same
0.507	1	iid_same
0.293	1	iid_same
0.24	1	iid_same
0.406	1	iid_same
0.482	1	iid_same
0.381	0	iid_same
0.83	1	iid_same
0.638	1	iid_same
0.636	0	iid_same
0.311	1	iid_same
0.276	1	iid_same
0.389	0	iid_same
0.283	1	iid_same
0.251	1	iid_same
0.308	0	iid_same
0.299	1	iid_same
0.691	1	iid_same
0.822	1	iid_same
