# rt	acc	condition
0.345	1	rdw_opposite
0.435	1	rdw_opposite
0.486	1	rdw_opposite
0.527	1	rdw_opposite
0.739	0	rdw_opposite
0.832	1	rdw_opposite
0.456	1	rdw_opposite
0.645	1	rdw_opposite
0.287	1	rdw_opposite
0.396	1	rdw_opposite
0.608	1	rdw_opposite
0.283	0	rdw_opposite
0.668	1	rdw_opposite
0.478	1	rdw_opposite
0.6	1	rdw_opposite
0.606	1	rdw_opposite
0.188	1	rdw_opposite
0.579	1	rdw_opposite
0.385	1	rdw_opposite
0.33	1	rdw_opposite
0.851	1	rdw_opposite
0.477	1	rdw_opposite
0.413	1	rdw_opposite
0.391	1	rdw_opposite
0.268	1	rdw_opposite
0.376	1	rdw_opposite
0.296	1	rdw_opposite
0.232	0	rdw_opposite
0.457	1	rdw_opposite
0.342	1	rdw_opposite
0.409	1	rdw_opposite
0.628	1	rdw_opposite
0.208	1	rdw_opposite
0.392	1	rdw_opposite
0.234	1	rdw_opposite
0.306	1	rdw_opposite
0.314	1	rdw_opposite
0.489	1	rdw_opposite
0.254	1	rdw_opposite
0.46	1	rdw_opposite
0.368	1	rdw_opposite
0.604	1	rdw_opposite
0.272	1	rdw_opposite
0.543	1	rdw_opposite
0.404	1	rdw_opposite
0.33	1	rdw_opposite
0.47	1	rdw_opposite
0.378	1	rdw_opposite
0.519	0	rdw_opposite
0.642	1	rdw_opposite
0.56	1	rdw_opposite
0.705	0	rdw_opposite
0.338	1	rdw_opposite
0.395	1	rdw_opposite
0.383	1	rdw_opposite
0.462	1	rdw_opposite
0.28	1	rdw_opposite
0.335	1	rdw_opposite
0.285	1	rdw_opposite
0.46	1	rdw_opposite
0.318	1	rdw_opposite
0.383	1	rdw_opposite
0.384	1	rdw_opposite
0.388	1	rdw_opposite
0.672	1	rdw_opposite
0.524	1	rdw_opposite
0.5	1	rdw_opposite
0.496	1	rdw_opposite
0.368	1	rdw_opposite
0.493	0	rdw_opposite
0.392	1	rdw_opposite
0.531	1	rdw_opposite
0.456	1	rdw_opposite
0.456	1	rdw_opposite
0.205	1	rdw_opposite
0.276	0	rdw_opposite
0.645	0	rdw_opposite
0.529	1	rdw_opposite
0.359	1	rdw_opposite
0.573	1	rdw_opposite
0.326	1	rdw_opposite
0.207	1	rdw_opposite
0.23	1	rdw_opposite
0.475	1	rdw_opposite
0.401	1	rdw_opposite
0.544	1	rdw_opposite
0.419	1	rdw_opposite
0.377	1	rdw_opposite
0.365	1	rdw_opposite
0.455	1	rdw_opposite
0.566	1	rdw_opposite
0.697	1	rdw_opposite
0.492	1	rdw_opposite
0.281	1	rdw_opposite
0.387	1	rdw_opposite
0.389	1	rdw_opposite
0.289	1	rdw_opposite
0.23	1	rdw_opposite
0.303	1	rdw_opposite
0.247	1	rdw_opposite
