# rt	acc	condition
0.365	1	rdw_same
0.747	1	rdw_same
0.151	1	rdw_same
0.316	1	rdw_same
0.406	1	rdw_same
0.245	1	rdw_same
0.344	1	rdw_same
0.246	1	rdw_same
0.204	1	rdw_same
0.23	1	rdw_same
0.186	1	rdw_same
0.387	1	rdw_same
0.415	1	rdw_same
0.303	1	rdw_same
0.464	1	rdw_same
0.422	1	rdw_same
0.282	1	rdw_same
0.209	1	rdw_same
0.51	1	rdw_same
0.355	1	rdw_same
0.185	1	rdw_same
0.415	1	rdw_same
0.417	1	rdw_same
0.201	1	rdw_same
0.341	1	rdw_same
0.273	1	rdw_same
0.463	1	rdw_same
0.465	1	rdw_same
0.477	1	rdw_same
0.578	1	rdw_same
0.174	1	rdw_same
0.337	1	rdw_same
1.096	1	rdw_same
0.57	1	rdw_same
0.448	1	rdw_same
0.236	1	rdw_same
0.351	1	rdw_same
0.395	1	rdw_same
0.597	1	rdw_same
0.397	1	rdw_same
0.264	1	rdw_same
0.471	1	rdw_same
0.378	1	rdw_same
0.25	1	rdw_same
0.394	1	rdw_same
0.38	1	rdw_same
1.286	1	rdw_same
0.599	1	rdw_same
0.146	1	rdw_same
0.257	1	rdw_same
0.257	1	rdw_same
0.504	1	rdw_same
0.274	1	rdw_same
0.416	1	rdw_same
0.386	1	rdw_same
0.649	1	rdw_same
0.381	1	rdw_same
0.29	1	rdw_same
0.7	1	rdw_same
0.617	1	rdw_same
0.578	1	rdw_same
0.728	1	rdw_same
0.55	1	rdw_same
0.451	1	rdw_same
0.297	1	rdw_same
0.303	1	rdw_same
0.29	1	rdw_same
0.407	1	rdw_same
0.242	1	rdw_same
0.572	1	rdw_same
0.409	1	rdw_same
0.31	1	rdw_same
0.536	1	rdw_same
0.455	1	rdw_same
0.372	0	rdw_same
0.359	1	rdw_same
0.347	1	rdw_same
0.308	1	rdw_same
0.37	1	rdw_same
0.269	1	rdw_same
0.275	1	rdw_same
0.378	0	rdw_same
0.294	1	rdw_same
0.381	1	rdw_same
0.372	1	rdw_same
0.411	1	rdw_same
0.192	1	rdw_same
0.502	1	rdw_same
0.531	1	rdw_same
0.274	1	rdw_same
0.257	1	rdw_same
0.501	1	rdw_same
0.378	1	rdw_same
0.609	1	rdw_same
0.392	1	rdw_same
0.518	1	rdw_same
0.393	1	rdw_same
0.29	1	rdw_same
0.458	1	rdw_same
0.784	1	rdw_same
