rms_RSM_model_iid,rms_RSM_model_rdw,rms_LSTM_model_iid,rms_LSTM_model_rdw,meanRT_LSTM_model_iid,meanRT_LSTM_model_rdw
0.74,0.8,0.64,0.74,0.5094223618507385,0.43385666608810425
0.64,0.71,0.59,0.67,0.6088364124298096,0.4427691400051117
0.84,0.95,0.68,0.9,0.4505230784416199,0.3459005355834961
0.72,0.77,0.58,0.68,0.42793986201286316,0.44002360105514526
0.86,0.83,0.76,0.8,0.46401816606521606,0.3913920223712921
0.74,0.71,0.67,0.68,0.4079674184322357,0.40567177534103394
0.89,0.9,0.79,0.85,0.38060012459754944,0.47841715812683105
0.74,0.97,0.61,0.9,0.3255968391895294,0.419729620218277
0.7,0.85,0.6,0.77,0.4554779529571533,0.48000943660736084
0.67,0.93,0.63,0.9,0.5741598010063171,0.408339262008667
0.87,0.93,0.8,0.86,0.5592972040176392,0.4229580760002136
0.54,0.94,0.5,0.86,0.44684097170829773,0.42309415340423584
0.7,0.91,0.48,0.86,0.47477325797080994,0.41776901483535767
0.95,0.99,0.82,0.97,0.38212957978248596,0.42699772119522095
0.72,0.99,0.54,0.98,0.608084499835968,0.41542041301727295
0.95,0.77,0.86,0.73,0.4286424219608307,0.47321373224258423
0.72,0.98,0.68,0.97,0.4523541331291199,0.3966785669326782
0.84,1.0,0.66,1.0,0.4757331609725952,0.37678202986717224
0.87,0.87,0.76,0.83,0.44760796427726746,0.41038089990615845
0.75,0.95,0.7,0.9,0.4682546854019165,0.4255017340183258
0.82,0.7,0.72,0.57,0.4852907955646515,0.5464391112327576
0.88,0.99,0.74,1.0,0.4807356894016266,0.48020514845848083
0.45,0.85,0.24,0.85,0.5629196763038635,0.48556578159332275
0.77,0.88,0.6,0.85,0.43237704038619995,0.444208025932312
0.66,0.94,0.62,0.93,0.5300536751747131,0.44079598784446716
0.82,0.93,0.74,0.89,0.5404021739959717,0.4857737720012665
0.9,1.0,0.73,1.0,0.5935772061347961,0.40914711356163025
0.8,0.82,0.77,0.83,0.4943446218967438,0.46151456236839294
0.84,0.85,0.74,0.8,0.5052222609519958,0.4362453520298004
0.92,1.0,0.71,1.0,0.48517104983329773,0.4288000762462616
0.91,1.0,0.85,0.98,0.49964743852615356,0.4525620639324188
0.95,1.0,0.88,1.0,0.6042538285255432,0.40785712003707886
0.64,0.97,0.69,0.93,0.503400981426239,0.49371087551116943
0.95,0.89,0.88,0.83,0.46765023469924927,0.5004458427429199
0.42,0.97,0.27,0.93,0.5411015152931213,0.475053071975708
0.87,0.95,0.59,0.85,0.632168173789978,0.49173590540885925
0.56,1.0,0.24,1.0,0.6945885419845581,0.42866089940071106
0.77,1.0,0.71,0.98,0.5662766695022583,0.454706609249115
0.95,0.99,0.66,0.99,0.5831350088119507,0.3991592824459076
0.92,1.0,0.79,1.0,0.46371909976005554,0.5210700035095215
0.53,0.92,0.35,0.84,0.5285685658454895,0.5458620190620422
0.52,1.0,0.35,1.0,0.4867464005947113,0.4570586681365967
1.0,1.0,0.82,1.0,0.4837212860584259,0.4988330900669098
1.0,1.0,0.86,1.0,0.5294132232666016,0.5028913617134094
0.45,0.99,0.35,0.98,0.5706140995025635,0.5397366881370544
0.61,1.0,0.49,1.0,0.5816299319267273,0.5294589400291443
0.81,0.93,0.47,0.93,0.5193174481391907,0.4993724822998047
0.83,0.98,0.67,0.94,0.5139948725700378,0.5885465741157532
0.76,1.0,0.54,1.0,0.5693464875221252,0.5699459314346313
0.89,0.96,0.64,0.89,0.554459810256958,0.5286812782287598
0.78,0.77,0.69,0.77,0.45932188630104065,0.46331775188446045
0.34,0.92,0.32,0.9,0.44508934020996094,0.44458284974098206
0.61,0.86,0.59,0.86,0.4488331079483032,0.4576343894004822
0.63,0.93,0.6,0.92,0.5193065404891968,0.4751551151275635
0.81,0.51,0.65,0.52,0.45764443278312683,0.5090807676315308
0.55,0.68,0.53,0.74,0.5053888559341431,0.4723786413669586
0.42,0.88,0.36,0.9,0.5327341556549072,0.549802839756012
0.7,0.76,0.54,0.79,0.4938405156135559,0.4645111858844757
0.63,0.77,0.54,0.77,0.47397738695144653,0.4844725430011749
0.55,0.83,0.43,0.83,0.44843578338623047,0.4357191026210785
0.4,0.91,0.4,0.97,0.5273626446723938,0.4017501175403595
0.27,0.88,0.24,0.93,0.4244855046272278,0.42558223009109497
0.56,0.59,0.45,0.59,0.4360959231853485,0.48450714349746704
0.56,0.76,0.62,0.76,0.4699186086654663,0.5160958766937256
0.56,0.77,0.6,0.84,0.4161790609359741,0.505023717880249
0.56,0.93,0.58,0.95,0.5363460779190063,0.44216445088386536
0.46,0.96,0.37,0.95,0.43469497561454773,0.39364171028137207
0.54,0.87,0.6,0.88,0.5438516736030579,0.40354838967323303
0.49,0.82,0.55,0.88,0.5432187914848328,0.42804640531539917
0.76,0.67,0.71,0.69,0.4543038606643677,0.4192578196525574
0.56,0.89,0.63,0.94,0.418076753616333,0.4848906397819519
0.62,0.77,0.55,0.83,0.4027802646160126,0.4481671154499054
0.42,0.93,0.46,0.96,0.5090283751487732,0.47489863634109497
0.63,0.85,0.67,0.93,0.5265147686004639,0.45964187383651733
0.65,0.86,0.71,0.9,0.5163027048110962,0.42098748683929443
0.28,1.0,0.29,1.0,0.48127391934394836,0.4302715063095093
0.82,0.99,0.67,1.0,0.4599366784095764,0.4008873701095581
0.38,0.96,0.37,0.98,0.5037699341773987,0.4182523787021637
0.71,0.67,0.69,0.73,0.5869261622428894,0.5363073348999023
0.54,0.96,0.46,0.97,0.5462467074394226,0.43571457266807556
0.42,0.74,0.49,0.79,0.6019889116287231,0.5300102233886719
0.18,1.0,0.24,1.0,0.4164741039276123,0.39040908217430115
0.54,0.98,0.36,0.99,0.5217078328132629,0.5044936537742615
0.78,0.84,0.57,0.89,0.5644094347953796,0.49098244309425354
0.72,0.7,0.59,0.7,0.6544128656387329,0.5440881848335266
0.69,0.33,0.73,0.37,0.4584430754184723,0.48097896575927734
0.82,0.92,0.78,0.95,0.5712210536003113,0.4116922616958618
0.9,1.0,0.84,0.99,0.45235154032707214,0.43562981486320496
